,alpha_wave,beta_wave,theta_wave,delta_wave,gamma_wave,attention,hrv,hr,coherence,SP ratio,BM,sleep,eda,temperature
2023-10-13 14:37:40,90.892259375,89.202946875,87.87766249999999,79.97899375,86.661475,45.34375,0.0,0.0,0.0,1.0150810153262784,0.0,,15.5,
2023-10-13 14:37:50,94.038640625,93.811909375,89.11318125,81.60682812499999,89.49597812500001,56.03125,0.0,74.92857142857143,0.0,1.0527276443180509,0.0,,15.44,
2023-10-13 14:38:00,97.98521212121211,99.03638484848484,89.63623636363637,81.68240303030304,92.74673333333332,74.36363636363636,0.0,87.5,0.0,1.1048699595854732,0.0,,15.38,
2023-10-13 14:38:10,99.77875312500001,100.43626875,90.163825,81.57776249999999,94.08291875,75.5625,0.0,84.5,0.0,1.1139308780433836,0.0,,15.33,
2023-10-13 14:38:20,100.099803125,100.49143437499998,90.7061125,81.80850625,94.27415937500001,73.59375,0.0,82.42857142857143,0.0,1.107879409725557,0.0,,15.28,
2023-10-13 14:38:30,100.019,101.2852125,91.77491875,83.06490937500001,93.262953125,79.84375,0.0,84.21428571428571,0.0,1.1036262835155057,0.0,,15.23,
2023-10-13 14:38:40,100.63861818181819,103.53720606060607,92.73935151515151,84.39274242424243,91.04042727272727,64.33333333333333,0.0,85.0,0.0,1.1164322843436147,0.0,,15.18,
2023-10-13 14:38:50,101.60755312500001,105.503215625,92.91689062500001,85.274634375,89.527034375,70.71875,0.0,85.0,0.0,1.135457879782016,0.0,,15.13,
2023-10-13 14:39:00,102.42055937500001,105.71299375000001,92.07142812500001,83.754196875,89.968934375,77.0,11.0,84.35714285714286,0.0,1.1481628546749556,0.0,,15.08,
2023-10-13 14:39:10,102.34535937499999,104.46170000000001,92.175815625,83.548478125,90.63865,71.1875,13.071428571428571,80.57142857142857,0.0,1.13328750379582,0.0,,15.04,
2023-10-13 14:39:20,101.61772121212121,103.01924545454546,92.99611515151514,84.48745757575757,89.34688787878788,69.06060606060606,14.714285714285714,81.64285714285714,0.0,1.107780096907274,0.0,,15.01,
2023-10-13 14:39:30,100.515325,102.13494062499998,93.04831250000001,84.448415625,87.04670312500001,50.65625,14.714285714285714,83.07142857142857,0.0,1.0976549480679725,0.0,,14.98,
2023-10-13 14:39:40,100.38581875,102.1876125,92.40738125,83.00048749999999,84.5025125,52.4375,14.2,83.26666666666667,0.0,1.1058382038069063,0.0,,14.94,
2023-10-13 14:39:50,99.8223375,101.2481625,91.497575,81.65640937500001,82.6635875,47.71875,13.714285714285714,83.5,0.0,1.1065666221208597,0.0,,14.9,
2023-10-13 14:40:00,99.3296090909091,100.67467878787879,90.71797272727272,80.17397575757577,80.30726363636364,43.09090909090909,12.642857142857142,82.0,0.0,1.1097545035594998,0.0,,14.87,
2023-10-13 14:40:10,98.4914875,99.49297812500001,90.076059375,79.465528125,79.39909374999999,41.34375,10.714285714285714,83.35714285714286,0.0,1.1045440799180166,0.0,,14.84,
