,alpha_wave,beta_wave,theta_wave,delta_wave,gamma_wave,attention,hrv,hr,coherence,SP ratio,BM,sleep,eda,temperature
2023-10-13 14:37:00,92.1964635135135,91.02177027027028,88.3031081081081,80.54928513513514,87.93065810810809,43.83783783783784,0.0,32.78125,0.0,1.0307878422448478,0.0,,15.73,
2023-10-13 14:38:00,99.96614717948717,101.63931846153845,91.29920974358973,82.94776256410256,92.45578205128206,72.65641025641025,0.0,83.7764705882353,0.0,1.1132551831170119,0.0,,15.38,
2023-10-13 14:39:00,101.18676476683936,103.12688186528497,92.3693689119171,83.48778082901555,87.37150103626944,61.38341968911917,13.576470588235294,82.74117647058823,0.0,1.1164619080988436,0.0,,15.08,
2023-10-13 14:40:00,99.53801030927835,99.36102371134021,90.55060309278348,81.13622422680412,89.27867577319587,58.66494845360825,15.892857142857142,85.48809523809524,0.0,1.0972983096482423,0.0,,14.87,
2023-10-13 14:41:00,101.28923471502591,101.5342968911917,90.92300569948186,81.6877274611399,92.55380932642485,68.70466321243524,35.811764705882354,78.78823529411764,0.0,1.1167063397220085,0.0,,14.72,
2023-10-13 14:42:00,100.53399793814434,100.36098144329898,91.23898762886597,81.96829278350515,94.01419793814433,69.31958762886597,53.32142857142857,84.69047619047619,0.0,1.0999791213328525,0.0,,14.43,
2023-10-13 14:43:00,100.55762474226803,99.0609742268041,90.3043412371134,80.91463092783506,98.56787989690723,78.29896907216495,54.247058823529414,81.4,0.0,1.0969680180346844,0.0,,13.88,
2023-10-13 14:44:00,98.17754145077721,94.89384715025908,89.37195751295336,80.62282849740933,99.57129585492228,72.00518134715026,40.44047619047619,77.14285714285714,0.0,1.0617854838471608,0.0,,13.4,
2023-10-13 14:45:00,98.60628402061853,96.75765154639174,89.98282938144328,81.14757113402062,95.89446958762886,65.44329896907216,34.71764705882353,72.55294117647058,0.0,1.0752901660407848,0.0,,13.0,
2023-10-13 14:46:00,96.86726632124353,92.37984559585492,88.38502901554405,80.0442445595855,99.26352279792748,64.17098445595855,30.80952380952381,78.64285714285714,0.0,1.0451978872984056,0.0,,12.56,
2023-10-13 14:47:00,98.59050257731958,96.03785515463917,90.17957474226803,81.89739845360825,98.80116288659795,73.44329896907216,35.6,79.4235294117647,0.0,1.0649623867612374,0.0,,11.9,
